"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"12863199","148","676A","Madureira - Meier (via Cascadura)","VIA CASCADURA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12863199&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12862259","148","180","Cosme Velho - Central (via Largo do Machado)","180-COSME VELHO - CENTRAL (VIA LARGO DO MACHADO)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862259&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12861122","148","358","Cosmos - Candelária","358-COSMOS - CANDELÁRIA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861122&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12862328","148","486","Fundão - Siqueira Campos (via Túnel Santa Bárbara)","486-FUNDAO - SIQUEIRA CAMPOS (VIA TÚNEL SANTA BÁRBARA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862328&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12861088","148","344","Rocha Miranda - Praça XV (Circular)","344-ROCHA MIRANDA - PRACA XV (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861088&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12860095","148","920","Pavuna - Bonsucesso (via Fazenda Botafogo)","920-PAVUNA - BONSUCESSO (VIA FAZENDA BOTAFOGO)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860095&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12863309","148","201","Santa Alexandrina - Praça XV (Circular)","201-SANTA ALEXANDRINA - PRACA XV (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12863309&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12866641","148","662","Méier - Maria da Graça (via Del Castilho) (Circular)","662-MEIER - MARIA DA GRACA (VIA DEL CASTILHO) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12866641&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12861315","148","301","Rodoviária - Barra da Tijuca (via Av. das Américas)","301-RODOVIARIA - BARRA DA TIJUCA (VIA AV. DAS AMERICAS)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861315&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12865848","148","415","Usina - Leblon (Circular)","415-USINA - LEBLON (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865848&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
